organism_code,vitek_name_example,clean_organism,clean_organism_genus,clean_organism_species,clean_organism_subspecies,clean_organism_rank,note
ECU,Psdes.vulneris,Pseudescherichia vulneris,Pseudescherichia,vulneris,,species,GENUS CHANGE: Escherichia vulneris -> Pseudescherichia vulneris (Alnajar & Gupta 2017). LoRN correct name. VITEK already abbreviates this as 'Psdes.'
PPA,Ps.aeruginosa,Pseudomonas aeruginosa,Pseudomonas,aeruginosa,,species,
PPL,Ps.alcaligenes,Pseudomonas alcaligenes,Pseudomonas,alcaligenes,,species,
PPF,Ps.fluorescens,Pseudomonas fluorescens,Pseudomonas,fluorescens,,species,
PCA,Ps.luteola,Pseudomonas luteola,Pseudomonas,luteola,,species,Formerly Chryseomonas luteola; Pseudomonas is the current LPSN placement
PPM,Ps.mendocina,Pseudomonas mendocina,Pseudomonas,mendocina,,species,NO CHANGE: Ectopseudomonas mendocina is an LPSN synonym flagged 'not recommended for medical use'.
PCB,Ps.oryzihabitans,Pseudomonas oryzihabitans,Pseudomonas,oryzihabitans,,species,Formerly Flavimonas oryzihabitans; Pseudomonas is the current LPSN placement
PPP,Ps.putida,Pseudomonas putida,Pseudomonas,putida,,species,
ERT,Ser.fonticola,Serratia fonticola,Serratia,fonticola,,species,
ERM,Ser.marcescens,Serratia marcescens,Serratia,marcescens,,species,
PPO,Sphmon.paucimobilis,Sphingomonas paucimobilis,Sphingomonas,paucimobilis,,species,
MAU,Staph.aureus,Staphylococcus aureus,Staphylococcus,aureus,,species,
MEP,Staph.epidermidis,Staphylococcus epidermidis,Staphylococcus,epidermidis,,species,
MLE,Staph.lentus,Staphylococcus lentus,Staphylococcus,lentus,,species,NO CHANGE: Mammaliicoccus lentus (2020) is an LPSN synonym flagged 'not recommended for medical use'.
MIP,Staph.pseudintermed.,Staphylococcus pseudintermedius,Staphylococcus,pseudintermedius,,species,
MSA,Staph.saprophyticus,Staphylococcus saprophyticus,Staphylococcus,saprophyticus,,species,
MWA,Staph.warneri,Staphylococcus warneri,Staphylococcus,warneri,,species,
PPH,Steno.maltophilia,Stenotrophomonas maltophilia,Stenotrophomonas,maltophilia,,species,
SMT0,Str.mitis/oralis,Streptococcus mitis/oralis group,Streptococcus,,,group,Viridans group; VITEK cannot separate S. mitis from S. oralis
SPY,Str.pyogenes,Streptococcus pyogenes,Streptococcus,pyogenes,,species,
PPS,Ps.stutzeri,Stutzerimonas stutzeri,Stutzerimonas,stutzeri,,species,"GENUS CHANGE: Pseudomonas stutzeri -> Stutzerimonas stutzeri (Lalucat 2022). LoRN correct name, explicitly recommended for medical use."
